기업이름,분야,평점,연봉,2차산업군
삼성전자(주) ,제조/화학,3.8,5463,전기/전자/제어
LG전자(주) ,제조/화학,3.1,5316,전기/전자/제어
엘지이노텍(주) ,제조/화학,3.4,4990,전기/전자/제어
삼성에스디아이(주) ,제조/화학,3.4,5047,전기/전자/제어
삼성전기(주) ,제조/화학,3.4,4700,전기/전자/제어
(주)코리아써키트 ,제조/화학,2.5,4052,전기/전자/제어
한국단자공업(주) ,제조/화학,2.6,4251,전기/전자/제어
영풍전자(주) ,제조/화학,2.0,3878,전기/전자/제어
(주)엘앤에프 ,제조/화학,2.5,4120,전기/전자/제어
대덕전자(주) ,제조/화학,2.9,4496,전기/전자/제어
타이코에이엠피(주) ,제조/화학,2.6,4484,전기/전자/제어
(주)이엠텍 ,제조/화학,1.8,4467,전기/전자/제어
에이에스이코리아(주) ,제조/화학,2.4,4151,전기/전자/제어
가온그룹(주) ,제조/화학,2.3,4510,전기/전자/제어
팬택(주) ,제조/화학,3.3,5068,전기/전자/제어
(주)케이엠더블유 ,제조/화학,2.4,3953,전기/전자/제어
에드워드코리아(주) ,제조/화학,3.3,4166,전기/전자/제어
(주)오토닉스 ,제조/화학,2.7,4096,전기/전자/제어
(주)인터플렉스 ,제조/화학,2.2,4072,전기/전자/제어
아모텍(주) ,제조/화학,2.4,3413,전기/전자/제어
HRS코리아(주) ,제조/화학,2.5,4379,전기/전자/제어
자화전자(주) ,제조/화학,2.5,4410,전기/전자/제어
(주)파트론 ,제조/화학,2.4,3845,전기/전자/제어
(주)비에이치 ,제조/화학,2.4,3741,전기/전자/제어
더블유씨피(주) ,제조/화학,2.5,3945,전기/전자/제어
세방전지(주) ,제조/화학,2.6,4623,전기/전자/제어
(주)티에스이 ,제조/화학,2.4,3248,전기/전자/제어
한국유미코아(유) ,제조/화학,2.9,3874,전기/전자/제어
(주)디에이피 ,제조/화학,2.2,3608,전기/전자/제어
(주)에이비비코리아 ,제조/화학,3.3,4608,전기/전자/제어
(주)세라젬 ,제조/화학,2.4,4717,전기/전자/제어
삼영전자공업(주) ,제조/화학,2.4,3558,전기/전자/제어
(주)다원시스 ,제조/화학,2.4,4078,전기/전자/제어
삼화콘덴서공업(주) ,제조/화학,2.3,3994,전기/전자/제어
한화시스템(주) ,제조/화학,3.4,5556,전기/전자/제어
코맥스(주) ,제조/화학,1.9,4056,전기/전자/제어
(유)솔라엣지테크놀로지스코리아 ,제조/화학,2.5,4680,전기/전자/제어
일진전기(주) ,제조/화학,2.3,4116,전기/전자/제어
에스케이엔펄스(주) ,제조/화학,2.6,3434,전기/전자/제어
한국동서발전(주) ,제조/화학,4.1,5078,전기/전자/제어
에이스테크놀로지(주) ,제조/화학,2.3,4386,전기/전자/제어
동양이엔피(주) ,제조/화학,2.2,3554,전기/전자/제어
(주)모다이노칩 ,제조/화학,2.0,3536,전기/전자/제어
(주)이녹스첨단소재 ,제조/화학,3.1,4674,전기/전자/제어
신흥정밀(주) ,제조/화학,1.9,3422,전기/전자/제어
(주)켐트로닉스 ,제조/화학,2.5,4150,전기/전자/제어
부전전자(주) ,제조/화학,2.1,3701,전기/전자/제어
(주)에스아이플렉스 ,제조/화학,2.5,3857,전기/전자/제어
대한전선(주) ,제조/화학,3.0,4410,전기/전자/제어
해성디에스(주) ,제조/화학,3.3,4395,전기/전자/제어
(주)아이디스 ,제조/화학,3.0,4361,전기/전자/제어
한솔테크닉스(주) ,제조/화학,2.8,4241,전기/전자/제어
(주)에스에너지 ,제조/화학,2.0,3811,전기/전자/제어
(주)져스텍 ,제조/화학,1.7,3551,전기/전자/제어
(주)휴니드테크놀러지스 ,제조/화학,2.4,3908,전기/전자/제어
아이티엠반도체(주) ,제조/화학,2.0,3610,전기/전자/제어
(주)와이솔 ,제조/화학,3.1,4480,전기/전자/제어
(주)아이에스시 ,제조/화학,2.4,3708,전기/전자/제어
뷰웍스(주) ,제조/화학,3.3,5270,전기/전자/제어
한국에머슨(주) ,제조/화학,2.9,5003,전기/전자/제어
크루셜텍(주) ,제조/화학,2.4,4615,전기/전자/제어
한국하니웰(주) ,제조/화학,3.0,4677,전기/전자/제어
(주)이노와이어리스 ,제조/화학,3.1,4098,전기/전자/제어
티디케이한국(주) ,제조/화학,2.9,3725,전기/전자/제어
(주)뉴파워프라즈마 ,제조/화학,2.3,3671,전기/전자/제어
(주)유비쿼스홀딩스 ,제조/화학,2.3,3863,전기/전자/제어
한국몰렉스(유) ,제조/화학,2.9,4268,전기/전자/제어
인탑스(주) ,제조/화학,2.5,4000,전기/전자/제어
로체시스템즈(주) ,제조/화학,2.4,3543,전기/전자/제어
삼화양행(주) ,제조/화학,2.2,3369,전기/전자/제어
크루셜텍(주) ,제조/화학,2.4,4615,전기/전자/제어
한국하니웰(주) ,제조/화학,3.0,4677,전기/전자/제어
(주)이노와이어리스 ,제조/화학,3.1,4098,전기/전자/제어
티디케이한국(주) ,제조/화학,2.9,3725,전기/전자/제어
(주)뉴파워프라즈마 ,제조/화학,2.3,3671,전기/전자/제어
(주)유비쿼스홀딩스 ,제조/화학,2.3,3863,전기/전자/제어
한국몰렉스(유) ,제조/화학,2.9,4268,전기/전자/제어
인탑스(주) ,제조/화학,2.5,4000,전기/전자/제어
로체시스템즈(주) ,제조/화학,2.4,3543,전기/전자/제어
삼화양행(주) ,제조/화학,2.2,3369,전기/전자/제어
이라이콤(주) ,제조/화학,2.0,3616,전기/전자/제어
(주)심텍홀딩스 ,제조/화학,2.4,3931,전기/전자/제어
(주)파인디지털 ,제조/화학,3.2,3714,전기/전자/제어
아이쓰리시스템(주) ,제조/화학,3.3,3566,전기/전자/제어
인텍전기전자(주) ,제조/화학,2.1,3616,전기/전자/제어
(주)제이오텍 ,제조/화학,2.8,3257,전기/전자/제어
(주)지아이티 ,제조/화학,2.3,4606,전기/전자/제어
(주)제이앤티씨 ,제조/화학,2.2,3695,전기/전자/제어
대덕지디에스(주) ,제조/화학,2.6,3974,전기/전자/제어
(주)유텔 ,제조/화학,2.7,3837,전기/전자/제어
(주)이씨스 ,제조/화학,1.9,3480,전기/전자/제어
한영넉스(주) ,제조/화학,1.6,3155,전기/전자/제어
(주)위닉스 ,제조/화학,1.9,4699,전기/전자/제어
(주)솔루엠 ,제조/화학,3.0,4130,전기/전자/제어
현대오트론(주) ,제조/화학,3.0,5342,전기/전자/제어
(주)이즈미디어 ,제조/화학,2.7,4795,전기/전자/제어
한국요꼬가와전기(주) ,제조/화학,3.3,4478,전기/전자/제어
에이엠텔레콤(주) ,제조/화학,1.8,4275,전기/전자/제어
(주)미르기술 ,제조/화학,2.2,3799,전기/전자/제어
(주)디젠 ,제조/화학,2.2,4196,전기/전자/제어
(주)이씨스 ,제조/화학,1.9,3480,전기/전자/제어
한영넉스(주) ,제조/화학,1.6,3155,전기/전자/제어
(주)위닉스 ,제조/화학,1.9,4699,전기/전자/제어
(주)솔루엠 ,제조/화학,3.0,4130,전기/전자/제어
현대오트론(주) ,제조/화학,3.0,5342,전기/전자/제어
(주)이즈미디어 ,제조/화학,2.7,4795,전기/전자/제어
한국요꼬가와전기(주) ,제조/화학,3.3,4478,전기/전자/제어
에이엠텔레콤(주) ,제조/화학,1.8,4275,전기/전자/제어
(주)미르기술 ,제조/화학,2.2,3799,전기/전자/제어
(주)디젠 ,제조/화학,2.2,4196,전기/전자/제어
(주)가스트론 ,제조/화학,2.6,3339,전기/전자/제어
아사아블로이코리아(주)아이레보 ,제조/화학,2.6,4163,전기/전자/제어
(주)케이에이치바텍 ,제조/화학,2.7,3971,전기/전자/제어
(주)인텔리안테크놀로지스 ,제조/화학,2.8,4347,전기/전자/제어
(주)드림텍 ,제조/화학,2.3,3936,전기/전자/제어
에스에스엘엠(주) ,제조/화학,2.5,4208,전기/전자/제어
효성전기(주) ,제조/화학,2.5,4192,전기/전자/제어
엘이디라이텍(주) ,제조/화학,1.9,3486,전기/전자/제어
유니온커뮤니티(주) ,제조/화학,2.4,3716,전기/전자/제어
(주)이랜텍 ,제조/화학,2.6,3671,전기/전자/제어
파워로직스(주) ,제조/화학,2.5,3905,전기/전자/제어
(주)유진로봇 ,제조/화학,2.5,4407,전기/전자/제어
아트라스비엑스(주) ,제조/화학,2.7,4740,전기/전자/제어
(주)제이티 ,제조/화학,2.2,3624,전기/전자/제어
(주)텔레칩스 ,제조/화학,3.3,5108,전기/전자/제어
케이디파워(주) ,제조/화학,2.4,3082,전기/전자/제어
(주)루켄테크놀러지스 ,제조/화학,1.6,2801,전기/전자/제어
롯데에너지머티리얼즈(주) ,제조/화학,2.4,4361,전기/전자/제어
우주일렉트로닉스(주) ,제조/화학,2.6,4232,전기/전자/제어
(주)나무가 ,제조/화학,2.5,4023,전기/전자/제어
(주)큐메이트 ,제조/화학,2.3,2608,전기/전자/제어
비츠로시스(주) ,제조/화학,2.0,3643,전기/전자/제어
센서텍(주) ,제조/화학,2.1,3691,전기/전자/제어
유아이엘(주) ,제조/화학,2.5,3881,전기/전자/제어
(주)오이솔루션 ,제조/화학,3.1,3400,전기/전자/제어
신흥에스이씨(주) ,제조/화학,2.3,3598,전기/전자/제어
멜파스(주) ,제조/화학,2.6,3928,전기/전자/제어
(주)와이즈산전 ,제조/화학,2.6,3341,전기/전자/제어
파크시스템스(주) ,제조/화학,2.8,4112,전기/전자/제어
(주)슈프리마에이치큐 ,제조/화학,2.2,4477,전기/전자/제어
(주)알토 ,제조/화학,2.2,3555,전기/전자/제어
대한광통신(주) ,제조/화학,2.6,4267,전기/전자/제어
기가레인(주) ,제조/화학,2.6,3775,전기/전자/제어
한국경남태양유전(주) ,제조/화학,2.1,4018,전기/전자/제어
금호전기(주) ,제조/화학,2.4,3378,전기/전자/제어
(주)케이티이 ,제조/화학,2.6,3345,전기/전자/제어
에스비더블유생명과학(주) ,제조/화학,2.6,3409,전기/전자/제어
다산네트웍스(주) ,제조/화학,2.5,3980,전기/전자/제어
솔라루체(주) ,제조/화학,2.4,3419,전기/전자/제어
한국요꼬가와일렉트로닉스매뉴팩처링(주) ,제조/화학,2.4,3784,전기/전자/제어
(주)이수페타시스 ,제조/화학,3.1,5026,전기/전자/제어
두산전자(주) ,제조/화학,3.2,5506,전기/전자/제어
쿠도커뮤니케이션(주) ,제조/화학,3.1,3809,전기/전자/제어
한국에스엠티(주) ,제조/화학,2.2,3708,전기/전자/제어
(주)에프알텍 ,제조/화학,2.4,3637,전기/전자/제어
연합정밀(주) ,제조/화학,2.3,3403,전기/전자/제어
이수엑사보드(주) ,제조/화학,2.6,4316,전기/전자/제어
삼화전기(주) ,제조/화학,2.6,3547,전기/전자/제어
(주)뉴프렉스 ,제조/화학,2.4,3592,전기/전자/제어
(주)쎄믹스 ,제조/화학,2.6,4090,전기/전자/제어
(주)이수페타시스 ,제조/화학,3.1,5026,전기/전자/제어
두산전자(주) ,제조/화학,3.2,5506,전기/전자/제어
쿠도커뮤니케이션(주) ,제조/화학,3.1,3809,전기/전자/제어
한국에스엠티(주) ,제조/화학,2.2,3708,전기/전자/제어
(주)에프알텍 ,제조/화학,2.4,3637,전기/전자/제어
연합정밀(주) ,제조/화학,2.3,3403,전기/전자/제어
이수엑사보드(주) ,제조/화학,2.6,4316,전기/전자/제어
삼화전기(주) ,제조/화학,2.6,3547,전기/전자/제어
(주)뉴프렉스 ,제조/화학,2.4,3592,전기/전자/제어
(주)쎄믹스 ,제조/화학,2.6,4090,전기/전자/제어
에이앤지테크놀로지(주) ,제조/화학,3.3,3536,전기/전자/제어
피플웍스(주) ,제조/화학,2.2,4074,전기/전자/제어
(주)세경하이테크 ,제조/화학,2.2,3948,전기/전자/제어
(주)우익반도체 ,제조/화학,2.6,5442,전기/전자/제어
갑진(주) ,제조/화학,2.1,3831,전기/전자/제어
뉴모텍(주) ,제조/화학,2.3,2916,전기/전자/제어
(주)비츠로테크 ,제조/화학,2.5,4075,전기/전자/제어
가온전선(주) ,제조/화학,3.2,4458,전기/전자/제어
우영산업(주) ,제조/화학,2.8,5061,전기/전자/제어
(주)테스트테크 ,제조/화학,2.1,4126,전기/전자/제어
(주)티엠씨 ,제조/화학,3.0,3965,전기/전자/제어
(주)경신전선 ,제조/화학,3.0,4881,전기/전자/제어
(주)알에프텍 ,제조/화학,2.5,4102,전기/전자/제어
아남전자(주) ,제조/화학,1.9,3686,전기/전자/제어
엘에스메카피온(주) ,제조/화학,2.7,3663,전기/전자/제어
이브이시스(주) ,제조/화학,3.0,3443,전기/전자/제어
(유)한국타코닉 ,제조/화학,2.6,4229,전기/전자/제어
엔쓰리엔(주) ,제조/화학,2.3,4245,전기/전자/제어
(주)케이티앤씨 ,제조/화학,2.1,3003,전기/전자/제어
쏠리드(주) ,제조/화학,3.1,3994,전기/전자/제어
에스피지(주) ,제조/화학,2.5,3795,전기/전자/제어
케이에이치필룩스(주) ,제조/화학,2.2,3451,전기/전자/제어
넥스트아이(주) ,제조/화학,1.9,3907,전기/전자/제어
피닉슨컨트롤스(주) ,제조/화학,2.1,4331,전기/전자/제어
하이트론씨스템즈(주) ,제조/화학,2.5,3320,전기/전자/제어
에이치엔에스하이텍(주) ,제조/화학,2.7,3742,전기/전자/제어
(주)리트코 ,제조/화학,2.0,3735,전기/전자/제어
(주)코콤 ,제조/화학,2.1,3755,전기/전자/제어
코칩(주) ,제조/화학,1.8,3011,전기/전자/제어
(주)엠쓰리모바일 ,제조/화학,2.3,3731,전기/전자/제어
(주)비츠로셀 ,제조/화학,2.6,3930,전기/전자/제어
대주전자재료(주) ,제조/화학,2.4,3908,전기/전자/제어
티엘비(주) ,제조/화학,2.6,4087,전기/전자/제어
(주)빅텍 ,제조/화학,2.4,3479,전기/전자/제어
(주)유니온 ,제조/화학,1.9,3024,전기/전자/제어
(주)텍슨 ,제조/화학,2.2,3931,전기/전자/제어
CIMON ,제조/화학,3.2,3707,전기/전자/제어
삼지전자(주) ,제조/화학,2.5,3335,전기/전자/제어
알에프에이치아이씨(주) ,제조/화학,2.4,4215,전기/전자/제어
하이게인안테나(주) ,제조/화학,2.1,3109,전기/전자/제어
(주)에코프로 ,제조/화학,3.0,4266,전기/전자/제어
와이피피(주) ,제조/화학,2.7,3488,전기/전자/제어
(주)오리엔텍 ,제조/화학,1.8,3311,전기/전자/제어
세일전자(주) ,제조/화학,2.1,3493,전기/전자/제어
(주)글로우원 ,제조/화학,2.5,4404,전기/전자/제어
엘씨텍(주) ,제조/화학,2.2,3852,전기/전자/제어
(주)마크원테크놀로지 ,제조/화학,1.7,4197,전기/전자/제어
조인셋(주) ,제조/화학,2.3,4429,전기/전자/제어
에스제이아이(주) ,제조/화학,2.2,3605,전기/전자/제어
(주)일신테크놀로지 ,제조/화학,2.4,3204,전기/전자/제어
모다정보통신(주) ,제조/화학,2.3,3594,전기/전자/제어
(주)에스코넥 ,제조/화학,1.9,3662,전기/전자/제어
덕우전자(주) ,제조/화학,2.6,3575,전기/전자/제어
위너콤(주) ,제조/화학,2.6,4003,전기/전자/제어
(주)코리아인스트루먼트 ,제조/화학,2.4,2960,전기/전자/제어
콘텔라(주) ,제조/화학,2.4,4464,전기/전자/제어
네오랩컨버전스(주) ,제조/화학,2.9,3762,전기/전자/제어
(주)슈프리마 ,제조/화학,2.5,4678,전기/전자/제어
(주)메티스 ,제조/화학,1.9,2906,전기/전자/제어
(주)언일전자 ,제조/화학,2.7,3071,전기/전자/제어
동부라이텍(주) ,제조/화학,2.2,4101,전기/전자/제어
현우산업(주) ,제조/화학,2.3,3663,전기/전자/제어
에스케이시그넷(주) ,제조/화학,2.4,4462,전기/전자/제어
(주)에이티아이케이 ,제조/화학,2.5,3788,전기/전자/제어
(주)파인테크닉스 ,제조/화학,2.3,3866,전기/전자/제어
한국프레틀(주) ,제조/화학,2.4,3951,전기/전자/제어
(주)젠믹스텍 ,제조/화학,2.1,3052,전기/전자/제어
넥상스코리아(주) ,제조/화학,2.8,4501,전기/전자/제어
모아텍(주) ,제조/화학,2.2,4286,전기/전자/제어
코스테크(주) ,제조/화학,2.5,3364,전기/전자/제어
한국제이에스티(주) ,제조/화학,2.4,3266,전기/전자/제어
(주)동아일렉콤 ,제조/화학,3.0,3982,전기/전자/제어
미래산업(주) ,제조/화학,2.4,2982,전기/전자/제어
인아오리엔탈모터(주) ,제조/화학,2.5,3703,전기/전자/제어
(주)자비스 ,제조/화학,2.2,3571,전기/전자/제어
영풍전자(주) ,제조/화학,1.8,3626,전기/전자/제어
케이엠아이시스템(주) ,제조/화학,1.9,3735,전기/전자/제어
(주)덕인 ,제조/화학,2.6,3648,전기/전자/제어
케이이티솔루션(주) ,제조/화학,2.6,3776,전기/전자/제어
(주)동일기연 ,제조/화학,2.7,4229,전기/전자/제어
